path	bucket	invoked_by	compiled_by	justification
scripts/checks/gates-808.sh	LIVE-WIRED	package.json:guard:full -> guard.sh -> gates-808.sh --strict	N/A	the universal 24-gate suite; entry point is package.json
scripts/checks/guard.sh	LIVE-WIRED	package.json:guard,guard:full	N/A	pre-merge aggregator; delegates phases 3-4 to check-instrument-typecheck.sh and gates-808.sh
scripts/checks/test-guard-discrimination.sh	LIVE-WIRED	package.json:guard:test	N/A	mutation-tests 3 of guard.sh's own checks
scripts/checks/check-instrument-typecheck.sh	LIVE-WIRED	guard.sh:196-197 (under --full)	N/A	compiles (does not execute) every scripts/checks/**/*.ts(x)
scripts/checks/check-migration-numbers.ts	LIVE-WIRED	gates-808.sh:174	check-instrument-typecheck.sh (glob)	gate 8 of 24
scripts/checks/dollar-sweep.sh	LIVE-WIRED	gates-808.sh:175; guard.sh:152	N/A	gate 9 of 24, also guard.sh phase 1
scripts/checks/check-composer-v3.ts	LIVE-WIRED	gates-808.sh:176	check-instrument-typecheck.sh (glob)	gate 10 of 24
scripts/checks/check-secret-requests.ts	LIVE-WIRED	gates-808.sh:177	check-instrument-typecheck.sh (glob)	gate 11 of 24; the name-twin that hides check-secret-scan.ts's gap
scripts/checks/contrast-canvas-banners.cjs	LIVE-WIRED	gates-808.sh:178	N/A	gate 12 of 24 (brief's 'gate 6' label is stale)
scripts/checks/check-working-sql-agreement.ts	LIVE-WIRED	gates-808.sh:180-183	check-instrument-typecheck.sh (glob)	gate 13 of 24, standalone typecheck
scripts/checks/check-stop-affordance.tsx	LIVE-WIRED	gates-808.sh:190-192	check-instrument-typecheck.sh (glob)	gate 14 of 24
scripts/checks/check-dismiss-peek.tsx	LIVE-WIRED	gates-808.sh:199-201	check-instrument-typecheck.sh (glob)	gate 15 of 24
scripts/checks/check-team-rows.ts	LIVE-WIRED	gates-808.sh:203-204	check-instrument-typecheck.sh (glob)	gate 16 of 24
scripts/checks/check-team-confirm.ts	LIVE-WIRED	gates-808.sh:206-207	check-instrument-typecheck.sh (glob)	gate 17 of 24
scripts/checks/check-deep-link.ts	LIVE-WIRED	gates-808.sh:215-217	check-instrument-typecheck.sh (glob)	gate 18 of 24
scripts/checks/check-usage-fold.ts	LIVE-WIRED	gates-808.sh:243-244,250-253	check-instrument-typecheck.sh (glob)	gates 19-20 of 24; call site exists even when DATABASE_URL unset (then SKIPPED, not absent)
